,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
300,1010.3304282241287,12801.599999999999,217001.30218004924,43599.11897119286,230.1550680773571,108.83393180646715,0.7800000003887767,3,0.5403601821427554,0.034041183307868934,26935.168562825143,26935.168562825143,0.6957354412896632,True,1.126418039011952e-05,-0.0466986320296496,0.0,op_mission:main_route:cruise
301,1015.3304282241287,12747.879895928274,218150.82296475078,43598.68472883419,230.1550680773571,109.2958771168041,0.7800000003887767,4,0.5357967717206711,0.03378748594386878,26961.85997301778,7027.923037730499,0.18,False,1.2553488017728903e-05,-0.04662287132700742,0.0,op_mission:main_route:descent
302,1020.3304282241287,12694.246880512985,219300.34781602622,43598.24360409597,230.1550680773571,109.7590294975109,0.7800000003887767,4,0.5312791118913547,0.03354088713870514,26992.398270806374,7087.612315449725,0.18,False,1.264433391972711e-05,-0.04655516203553128,0.0,op_mission:main_route:descent
303,1025.3304282241288,12640.69169873379,220449.87629612008,43597.795513411926,230.1550680773571,110.22346812028545,0.7800000003887767,4,0.5268059249261376,0.03330097835226819,27026.60832172785,7147.720816046929,0.18,False,1.2735307792006362e-05,-0.046495066199554326,0.0,op_mission:main_route:descent
304,1030.3304282241288,12587.205598926254,221599.4079925816,43597.340371288905,230.1550680773571,110.68926909296358,0.7800000003887767,4,0.522376006537448,0.033067519284859306,27064.44130477252,7208.260560778017,0.18,False,1.2826422687461791e-05,-0.04644244180960514,0.0,op_mission:main_route:descent
305,1035.3304282241288,12533.779992597003,222748.9425021248,43596.878090304934,230.1550680773571,111.15650835777721,0.7800000003887767,4,0.5179881956429844,0.032840137761572845,27105.734134421506,7269.243722408494,0.18,False,1.2917691556021412e-05,-0.046396879243995916,0.0,op_mission:main_route:descent
306,1040.3304282241288,12480.4067620647,223898.47944468248,43596.408581063675,230.1550680773571,111.62525896323004,0.7800000003887767,4,0.513641398073472,0.032618636094548195,27150.45848848852,7330.682267686682,0.18,False,1.3009126711236722e-05,-0.046358284564579015,0.0,op_mission:main_route:descent
307,1045.3304282241288,12427.077897581914,225048.01844630673,43595.93175219117,230.1550680773571,112.09559419386532,0.7800000003887767,4,0.5093345552120409,0.03240270254854613,27198.486158754793,7392.588363465473,0.18,False,1.3100740441681001e-05,-0.04632632973471253,0.0,op_mission:main_route:descent
308,1050.3304282241288,12373.78576644957,226197.55915145887,43595.447510284466,230.1550680773571,112.56758517155781,0.7800000003887767,4,0.5050666644968852,0.03219214015930104,27249.777497222993,7454.97406097139,0.18,False,1.3192544542671705e-05,-0.04630089412867059,0.0,op_mission:main_route:descent
309,1055.3304282241288,12320.522874598966,227347.10121175682,43594.955759897646,230.1550680773571,113.04130292023119,0.7800000003887767,4,0.5008367587932213,0.03198672291510603,27304.26364915221,7517.85156580472,0.18,False,1.3284550718354377e-05,-0.04628178844629522,0.0,op_mission:main_route:descent
